Date,Time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftElbow_x,LeftElbow_y,LeftElbow_z,LeftWrist_xLeftWrist_y,,LeftWrist_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightElbow_x,RightElbow_y,RightElbow_z,RightWrist_x,RightWrist_y,RightWrist_z,RightHand_x,RightHand_y,RightHand_z,,,
2015-01-12,11:33:39.076,-155.2836,283.7653,-1286.718,-121.8142,136.883,-1361.522,-270.0286,58.58818,-1391.08,-276.0873,-107.5739,-1416.979,-238.3223,-272.1918,-1407.915,-277.5174,-307.8556,-1398.198,25.67423,94.9112,-1393.577,214.5075,-32.18184,-1396.836,383.0084,-42.48939,-1393.423,449.1811,-73.03979,-1394.35,,,
2015-01-12,11:33:39.185,-146.4678,282.2142,-1282.622,-116.3104,132.5302,-1360.068,-266.0938,63.71367,-1386.714,-270.8335,-100.0604,-1410.732,-250.576,-265.9742,-1426.147,-243.8235,-321.2787,-1434.145,36.30593,93.29946,-1400.176,208.145,-24.22262,-1419.465,375.5054,-32.08777,-1431.913,408.3887,-44.94453,-1428.439,,,
2015-01-12,11:33:39.273,-141.7964,282.3752,-1281.92,-112.948,131.1547,-1359.726,-263.8096,62.17764,-1387.365,-264.9842,-102.3611,-1408.392,-253.0837,-268.3415,-1428.396,-249.1169,-323.6683,-1437.922,40.73282,92.24627,-1402.069,208.5479,-22.25436,-1424.436,375.3976,-29.04416,-1440.819,409.8671,-41.71772,-1436.954,,,
2015-01-12,11:33:39.356,-136.393,284.1447,-1282.467,-109.6244,130.5443,-1357.636,-261.0742,60.9178,-1390.372,-262.213,-104.3348,-1408.043,-252.7024,-270.4408,-1428.079,-249.5322,-325.8094,-1437.616,44.35452,91.7856,-1403.496,210.1559,-21.05337,-1430.432,376.8639,-25.63517,-1448.08,421.594,-19.6716,-1456.556,,,
2015-01-12,11:33:39.427,-135.1911,285.3093,-1283.23,-108.6815,130.3168,-1357.909,-245.2784,75.60868,-1380.397,-261.7287,-100.1059,-1408.092,-253.1082,-266.8225,-1424.56,-250.6036,-320.2946,-1418.695,46.76041,90.9065,-1404.415,220.1665,-25.43091,-1438.416,387.4966,-24.50941,-1452.104,421.7579,-18.38113,-1459.624,,,
2015-01-12,11:33:39.490,-134.3033,286.6267,-1284.421,-103.6257,131.7888,-1361.673,-244.5575,75.34988,-1381.498,-261.6727,-94.08623,-1408.463,-253.5818,-261.111,-1422.956,-250.4852,-314.596,-1417.503,48.86444,90.27087,-1405.19,220.7498,-25.8253,-1439.617,387.727,-24.67602,-1455.784,458.1151,-35.81888,-1470.937,,,
2015-01-12,11:33:39.596,-131.1752,290.0546,-1291.35,-101.9999,132.8815,-1365.464,-248.5056,61.17112,-1401.893,-263.4005,-105.13,-1412.935,-251.1479,-272.5075,-1422.405,-247.0637,-328.3,-1428.42,50.74345,89.31133,-1406.278,221.1578,-27.52566,-1442.218,388.039,-25.27599,-1458.874,457.9263,-36.49775,-1476.184,,,
2015-01-12,11:33:39.690,-132.2348,298.5232,-1302.943,-103.2064,135.9456,-1366.168,-248.6909,62.74991,-1404.741,-266.5797,-102.7593,-1415.672,-249.4424,-269.9914,-1422.054,-247.5474,-323.1491,-1413.567,51.92036,89.49834,-1407.208,215.7674,-27.116,-1442.148,382.3535,-27.43989,-1460.646,452.3708,-40.19063,-1476.324,,,
2015-01-12,11:33:39.795,-132.7625,302.5523,-1309.569,-103.5446,137.9354,-1367.366,-247.514,66.45647,-1409.994,-270.8152,-98.82143,-1417.931,-247.9611,-265.6385,-1420.437,-244.9078,-318.8254,-1412.429,53.16069,90.91776,-1408.666,214.5382,-26.59902,-1442.611,380.8117,-29.13848,-1462.668,450.9748,-42.33888,-1477.344,,,
2015-01-12,11:33:39.887,-134.5083,305.3026,-1315.582,-102.6222,140.7198,-1368.665,-247.5139,66.81824,-1415.2,-271.2851,-98.91463,-1419.057,-249.554,-265.765,-1422.687,-242.3102,-321.3818,-1426.754,55.84225,91.48412,-1410.508,214.2522,-28.07212,-1443.618,380.4305,-29.48997,-1464.081,450.8553,-43.36874,-1476.894,,,
2015-01-12,11:33:39.976,-134.048,306.4488,-1318.467,-102.9242,141.4366,-1369.463,-246.9252,67.59161,-1416.969,-271.3599,-98.19387,-1419.405,-249.3627,-265.007,-1422.764,-245.5365,-317.3779,-1410.603,56.61511,91.2359,-1410.974,220.5957,-33.55706,-1448.017,387.1726,-29.60224,-1465.701,457.8926,-42.75396,-1477.685,,,
2015-01-12,11:33:40.069,-132.8465,307.0312,-1321.589,-102.6007,142.242,-1371.016,-247.0792,69.27313,-1418.238,-271.9328,-96.49159,-1420.079,-249.2045,-263.2492,-1422.43,-241.6283,-318.8351,-1426.07,56.72539,91.34277,-1411.194,223.2988,-36.61433,-1449.734,389.6633,-33.79704,-1468.712,460.7232,-47.2073,-1478.203,,,
2015-01-12,11:33:40.128,-132.8389,307.5989,-1322.629,-103.2513,142.5343,-1371.404,-246.8596,70.35262,-1418.472,-271.0807,-95.4524,-1420.741,-249.7111,-262.4059,-1422.768,-247.0939,-314.309,-1408.426,56.87454,91.40925,-1411.49,224.1083,-37.30209,-1449.967,390.1208,-37.19508,-1471.099,461.5006,-50.0629,-1478.813,,,
2015-01-12,11:33:40.196,-132.9193,307.8626,-1323.153,-102.7489,142.8781,-1372.073,-246.9798,70.53923,-1419.263,-271.7434,-95.24242,-1420.957,-249.1817,-262.0357,-1422.902,-244.7406,-314.5711,-1411.62,56.90274,91.61477,-1411.661,234.914,-39.16504,-1451.989,400.9094,-35.93601,-1472.995,470.5654,-56.52982,-1479.707,,,
2015-01-12,11:33:40.275,-131.8352,306.8511,-1324.351,-102.4923,142.4068,-1373.286,-246.9129,70.14041,-1420.042,-277.0332,-94.80546,-1421.282,-245.8258,-260.26,-1422.274,-240.3044,-312.8596,-1411.753,57.13123,91.05029,-1411.811,233.5387,-41.64581,-1452.708,399.9897,-42.25484,-1471.236,469.2368,-64.29259,-1477.71,,,
2015-01-12,11:33:40.348,-131.7183,305.6176,-1324.457,-102.1103,141.6794,-1374.346,-247.0168,69.31524,-1420.639,-276.0616,-95.85243,-1421.52,-245.5363,-261.4942,-1421.208,-239.4147,-314.0976,-1411.056,57.39963,90.51341,-1411.766,233.6005,-42.30931,-1452.95,400.0968,-39.62638,-1471.009,434.7034,-61.65143,-1472.269,,,
2015-01-12,11:33:40.420,-131.741,305.5585,-1324.651,-101.987,141.5195,-1374.408,-246.8835,69.3447,-1420.539,-275.9764,-95.78359,-1421.603,-245.8456,-261.4734,-1421.548,-239.0575,-313.9378,-1411.147,57.53115,90.39591,-1411.655,233.0309,-42.556,-1453.063,399.5117,-37.77921,-1470.854,418.0482,-52.58,-1465.953,,,
